driver_id,asset_class,level,as_of,source
DRV-0000001,Commodities,30.911802450685315,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000002,Rates,1.8771413178479142,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000003,Commodities,155.93038367027899,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000004,FX,143.48027335334373,2026-02-08 09:48:00.294055,Bloomberg
DRV-0000005,Credit,151.75134858574634,2026-02-10 09:48:00.294055,Internal
DRV-0000006,Equities,167.08573329541343,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000007,Rates,3.0316680380506726,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000008,Volatility,71.74056788700429,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000009,Credit,83.34052410559654,2026-02-09 09:48:00.294055,Internal
DRV-0000010,Rates,2.9688204243240466,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000011,Volatility,84.51026661136642,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000012,Volatility,39.36179474928792,2026-02-11 09:48:00.294055,Internal
DRV-0000013,Rates,1.8223649756240106,2026-02-11 09:48:00.294055,Internal
DRV-0000014,Rates,2.2727846674838132,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000015,Rates,1.5064445956647106,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000016,Equities,188.17006297336505,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000017,Equities,79.80756171431777,2026-02-10 09:48:00.294055,Internal
DRV-0000018,Commodities,141.65445137300455,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000019,Commodities,203.3042626142301,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000020,Credit,132.1498924696452,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000021,Equities,93.75140393668553,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000022,Volatility,150.88746857285443,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000023,Equities,83.88109029114085,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000024,Equities,98.59031285644659,2026-02-10 09:48:00.294055,Internal
DRV-0000025,Equities,109.70182414244148,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000026,Volatility,114.54178214675991,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000027,Volatility,77.81753863711484,2026-02-11 09:48:00.294055,Internal
DRV-0000028,Volatility,155.96152911460365,2026-02-11 09:48:00.294055,Internal
DRV-0000029,Credit,108.9558789267143,2026-02-09 09:48:00.294055,Internal
DRV-0000030,Commodities,121.97497337145927,2026-02-11 09:48:00.294055,Internal
DRV-0000031,Equities,78.84377398320872,2026-02-11 09:48:00.294055,Internal
DRV-0000032,Rates,1.6547684484283032,2026-02-11 09:48:00.294055,Internal
DRV-0000033,Credit,63.966150012655454,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000034,Commodities,135.68102104981685,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000035,Rates,1.3538103324031399,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000036,Volatility,81.67002611833414,2026-02-11 09:48:00.294055,Refinitiv
