instrument_id,asset_class,sub_asset_class,desk,book,notional,direction,maturity,currency,geography
INS-000001,Rates,Macro,Cross-Asset Vol,BOOK-010,1105800.6554149846,-1,2029-12-17 09:48:00.258077,USD,APAC
INS-000002,Commodities,Credit,HY Credit,BOOK-048,6501772.345625235,-1,2030-04-21 09:48:00.258077,CAD,EMEA
INS-000003,Credit,Flow,XVA,BOOK-066,4053589.6409947276,-1,2026-05-11 09:48:00.258077,AUD,EMEA
INS-000004,Equities,Flow,Structured Solutions,BOOK-007,6908486.188879177,1,2027-03-23 09:48:00.258077,JPY,APAC
INS-000005,Equities,Macro,HY Credit,BOOK-039,8014141.601487247,1,2033-09-09 09:48:00.258077,USD,US
INS-000006,Volatility,Commod,Rates Macro,BOOK-026,9801036.245851528,1,2029-10-15 09:48:00.258077,CHF,APAC
INS-000007,Rates,Commod,EM Rates,BOOK-004,4654340.039311966,-1,2034-08-17 09:48:00.258077,AUD,APAC
INS-000008,Commodities,Commod,FX Options,BOOK-081,8499076.71540018,-1,2030-02-17 09:48:00.258077,JPY,EMEA
INS-000009,FX,Macro,XVA,BOOK-045,7535974.232880581,-1,2036-01-28 09:48:00.258077,USD,EMEA
INS-000010,Rates,Flow,Prime Finance,BOOK-076,8368773.274832712,-1,2027-12-26 09:48:00.258077,JPY,APAC
INS-000011,Credit,Commod,Rates Macro,BOOK-059,6200570.123116001,1,2028-01-22 09:48:00.258077,CNY,APAC
INS-000012,Volatility,Options,Structured Solutions,BOOK-088,10957837.8496553,-1,2032-01-08 09:48:00.258077,GBP,EMEA
INS-000013,Commodities,Macro,Securitized Products,BOOK-100,7241228.378925685,1,2034-02-24 09:48:00.258077,CHF,LATAM
INS-000014,Commodities,Macro,Volatility Trading,BOOK-061,11935455.558759421,1,2027-08-15 09:48:00.258077,GBP,LATAM
INS-000015,Commodities,Flow,Commodities,BOOK-036,5524028.365794441,1,2031-03-07 09:48:00.258077,CAD,EMEA
INS-000016,Commodities,Commod,Municipal,BOOK-043,9357068.349888884,1,2028-05-30 09:48:00.258077,JPY,APAC
INS-000017,Credit,Macro,EM Rates,BOOK-083,7350828.798598679,-1,2033-07-02 09:48:00.258077,JPY,LATAM
INS-000018,Rates,Commod,FX Options,BOOK-043,6680643.958333091,1,2031-10-04 09:48:00.258077,CHF,US
INS-000019,Volatility,Credit,Commodities,BOOK-052,9080788.351168867,1,2032-09-05 09:48:00.258077,CHF,APAC
INS-000020,Equities,Commod,Cash Equities,BOOK-020,6752066.302026026,-1,2028-11-10 09:48:00.258077,JPY,LATAM
INS-000021,Credit,Commod,Volatility Trading,BOOK-100,845086.6571066795,-1,2029-01-21 09:48:00.258077,GBP,US
INS-000022,Equities,Flow,XVA,BOOK-066,250000.0,1,2032-07-14 09:48:00.258077,USD,EMEA
INS-000023,FX,Commod,EM Rates,BOOK-034,10681055.400710123,1,2029-09-10 09:48:00.258077,CAD,LATAM
