instrument_id,desk,book,asset_class,pnl,pnl_delta,pnl_gamma,pnl_vega,pnl_rho,pnl_cs01,pnl_theta,pnl_convexity,pnl_cross_gamma,pnl_funding,pnl_liquidity,position_count,pct_total,rank
INS-001265,Rates Macro,BOOK-050,FX,-753.8635392582612,0.5747422518550498,0.00067781681964485,0.8570748391997722,0.0,0.0,-0.019572793161837666,0.0,-0.00037677979301826417,-439.11400267045406,-316.1620819227268,1,0.06732912087102244,1
INS-002221,G10 FX,BOOK-057,Volatility,-691.730623157735,0.0,0.0,0.1339597185290718,0.0,0.0,-0.0023641579281931,0.0,0.0,-402.2454759990325,-289.6167427193034,1,0.06177990088577485,2
INS-000312,Rates Exotics,BOOK-073,Commodities,-675.6896448600435,0.913525936977779,0.001272771128762289,0.0,0.0,0.0,-0.015126918574030175,0.0,0.0,-393.36588177300933,-283.22343487656667,1,0.06034724774571534,3
INS-002423,Commodities,BOOK-016,Rates,-670.2149750783334,-0.10084493540879745,4.653746813563714e-06,0.0,0.004050993404654062,0.0,-0.017619254795593925,2.2639344678981025e-06,0.0,-389.59335395303196,-280.507214846183,1,0.05985829359915407,4
INS-000710,EM Rates,BOOK-055,Equities,-659.1930640608534,-2.9690092309582576,0.0011475938275997458,1.3397293938806225,0.0,0.0,-0.017879589306023718,0.0,-0.0013462859760630054,-382.294015082745,-275.25169085957634,1,0.05887390379850695,5
INS-003272,Volatility Trading,BOOK-096,Equities,-651.1730614039952,-1.434838347464357,0.006118788745131774,0.14762032651069829,0.0,0.0,-0.018836400730353323,0.0,-0.0006246298581564128,-377.8328495006966,-272.0396516405015,1,0.05815762067808861,6
INS-002999,Structured Solutions,BOOK-012,Equities,-650.1834153343291,0.3438832118819532,0.0027579299471958084,1.4387747825355481,0.0,0.0,-0.009012918399628046,0.0,-0.001554266605822167,-379.04550236842346,-272.91276170526487,1,0.05806923332895425,7
INS-002536,Structured Solutions,BOOK-066,Volatility,-640.5136042095062,0.0,0.0,0.09674210727992749,0.0,0.0,-0.008107822652954453,0.0,0.0,-372.4431619151937,-268.15907657893945,1,0.057205602382345865,8
INS-002847,Structured Solutions,BOOK-049,Volatility,-633.829089798993,0.0,0.0,0.31768764244811737,0.0,0.0,-0.025711483792641324,0.0,0.0,-368.67503834747004,-265.4460276101784,1,0.05660859449527872,9
INS-002910,Equity Derivatives,BOOK-046,Equities,-624.8952318256132,1.2836506769257077,0.0028133022052953855,0.109680381162947,0.0,0.0,-0.013366884424357288,0.0,-0.001610139260038924,-364.11418555943186,-262.1622136027909,1,0.05581069305554857,10
INS-000578,IG Credit,BOOK-037,Credit,-623.9784990570539,0.0,0.0,0.0,0.0,0.009171823090411414,-0.007952911015728505,0.0,0.0,-362.77890579600506,-261.20081217312355,1,0.05572881774500962,11
INS-001446,IG Credit,BOOK-054,Rates,-618.5962143162521,-0.06899861908404512,6.319240056553268e-06,0.0,0.0019695922587023495,0.0,-0.019644227571963224,3.303788711208046e-06,0.0,-359.59857597958353,-258.91097470530013,1,0.05524811469863036,12
INS-002179,EM FX,BOOK-059,Credit,-615.7488512725654,0.0,0.0,0.0,0.0,0.008649842694821306,-0.015699804431915314,0.0,0.0,-357.9894193667607,-257.7523819440676,1,0.05499381078214079,13
INS-002726,Cash Equities,BOOK-051,Credit,-612.9714137681692,0.0,0.0,0.0,0.0,0.012204926515447568,-0.02206576024219204,0.0,0.0,-356.3729958921178,-256.58855704232474,1,0.0547457520610237,14
